agency,section,program,line_item,value_label,fiscal_year,amount,page
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,n FY 2027.,2027,6006.4,19
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,Human Services,26 and $145,,5446.9,19
General Fund / Statewide,General Table,General Table,Human Services,n FY 2027.,2027,5893.6,19
General Fund / Statewide,General Table,General Table,Human Services,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,Health,26 and $145,,2437.0,19
General Fund / Statewide,General Table,General Table,Health,n FY 2027.,2027,2521.7,19
General Fund / Statewide,General Table,General Table,Health,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,Judicial and Corrections,26 and $145,,1469.6,19
General Fund / Statewide,General Table,General Table,Judicial and Corrections,n FY 2027.,2027,1570.8,19
General Fund / Statewide,General Table,General Table,Judicial and Corrections,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,Transportation,26 and $145,,1043.2,19
General Fund / Statewide,General Table,General Table,Transportation,n FY 2027.,2027,1071.1,19
General Fund / Statewide,General Table,General Table,Transportation,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,Higher Education,26 and $145,,810.7,19
General Fund / Statewide,General Table,General Table,Higher Education,n FY 2027.,2027,929.2,19
General Fund / Statewide,General Table,General Table,Higher Education,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,Conservation and Development,26 and $145,,386.6,19
General Fund / Statewide,General Table,General Table,Conservation and Development,n FY 2027.,2027,405.2,19
General Fund / Statewide,General Table,General Table,Conservation and Development,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,Regulation and Protection,26 and $145,,359.9,19
General Fund / Statewide,General Table,General Table,Regulation and Protection,n FY 2027.,2027,357.7,19
General Fund / Statewide,General Table,General Table,Regulation and Protection,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,Legislative,26 and $145,,108.3,19
General Fund / Statewide,General Table,General Table,Legislative,n FY 2027.,2027,110.5,19
General Fund / Statewide,General Table,General Table,Legislative,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,Veterans’ and Military Affairs,26 and $145,,33.8,19
General Fund / Statewide,General Table,General Table,Veterans’ and Military Affairs,n FY 2027.,2027,36.0,19
General Fund / Statewide,General Table,General Table,Veterans’ and Military Affairs,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,General GovernmentA,26 and $145,,30.1,19
General Fund / Statewide,General Table,General Table,General GovernmentA,n FY 2027.,2027,35.3,19
General Fund / Statewide,General Table,General Table,General GovernmentA,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,GROSS TOTAL 9.7%,26 and $145,,0.0,19
General Fund / Statewide,General Table,General Table,GROSS TOTAL 9.7%,Appropriations,,26189.1,19
General Fund / Statewide,General Table,General Table,GROSS TOTAL 9.7%,n FY 2027.,2027,0.0,19
General Fund / Statewide,General Table,General Table,GROSS TOTAL 9.7%,Change from FY 2025,2025,4.2,19
General Fund / Statewide,General Table,General Table,Budgeted Lapses,26 and $145,,-194.7,19
General Fund / Statewide,General Table,General Table,Budgeted Lapses,n FY 2027.,2027,-106.2,19
General Fund / Statewide,General Table,General Table,Budgeted Lapses,Change from FY 2025,2025,0.0,19
General Fund / Statewide,General Table,General Table,NET TOTAL 10.2%,26 and $145,,0.0,19
General Fund / Statewide,General Table,General Table,NET TOTAL 10.2%,Appropriations,,25994.4,19
General Fund / Statewide,General Table,General Table,NET TOTAL 10.2%,n FY 2027.,2027,0.0,19
General Fund / Statewide,General Table,General Table,NET TOTAL 10.2%,Change from FY 2025,2025,4.6,19
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2023,2023,0.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2024,2024,0.0,21
General Fund / Statewide,General Table,General Table,General Table,Appropriation FY 2025,2025,0.0,21
General Fund / Statewide,General Table,General Table,General Table,Governor Recommended,,26.0,21
General Fund / Statewide,General Table,General Table,General Table,60 million in,,27.0,21
General Fund / Statewide,General Table,General Table,General Table,Legislative,,26.0,21
General Fund / Statewide,General Table,General Table,General Table,FY,,27.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2023,2023,0.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2024,2024,0.0,21
General Fund / Statewide,General Table,General Table,General Table,Appropriation FY 2025,2025,0.0,21
General Fund / Statewide,General Table,General Table,General Table,Governor Recommended,,0.0,21
General Fund / Statewide,General Table,General Table,General Table,60 million in,,0.0,21
General Fund / Statewide,General Table,General Table,General Table,Legislative,,0.0,21
General Fund / Statewide,General Table,General Table,General Table,FY,,0.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2023,2023,69988196.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2024,2024,74561078.0,21
General Fund / Statewide,General Table,General Table,General Table,Appropriation FY 2025,2025,92255045.0,21
General Fund / Statewide,General Table,General Table,General Table,Governor Recommended,,89070445.0,21
General Fund / Statewide,General Table,General Table,General Table,60 million in,,90818936.0,21
General Fund / Statewide,General Table,General Table,General Table,Legislative,,93416883.0,21
General Fund / Statewide,General Table,General Table,General Table,FY,,99243541.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2023,2023,13368685.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2024,2024,14122585.0,21
General Fund / Statewide,General Table,General Table,General Table,Appropriation FY 2025,2025,15040371.0,21
General Fund / Statewide,General Table,General Table,General Table,Governor Recommended,,15476037.0,21
General Fund / Statewide,General Table,General Table,General Table,60 million in,,15647232.0,21
General Fund / Statewide,General Table,General Table,General Table,Legislative,,15853688.0,21
General Fund / Statewide,General Table,General Table,General Table,FY,,17153055.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2023,2023,755374.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2024,2024,839552.0,21
General Fund / Statewide,General Table,General Table,General Table,Appropriation FY 2025,2025,1029868.0,21
General Fund / Statewide,General Table,General Table,General Table,Governor Recommended,,1075452.0,21
General Fund / Statewide,General Table,General Table,General Table,60 million in,,1075452.0,21
General Fund / Statewide,General Table,General Table,General Table,Legislative,,1187850.0,21
General Fund / Statewide,General Table,General Table,General Table,FY,,1287933.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2023,2023,84112255.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2024,2024,89523215.0,21
General Fund / Statewide,General Table,General Table,General Table,Appropriation FY 2025,2025,108325284.0,21
General Fund / Statewide,General Table,General Table,General Table,Governor Recommended,,105621934.0,21
General Fund / Statewide,General Table,General Table,General Table,60 million in,,107541620.0,21
General Fund / Statewide,General Table,General Table,General Table,Legislative,,110458421.0,21
General Fund / Statewide,General Table,General Table,General Table,FY,,117684529.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2023,2023,84112255.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2024,2024,89523215.0,21
General Fund / Statewide,General Table,General Table,General Table,Appropriation FY 2025,2025,108325284.0,21
General Fund / Statewide,General Table,General Table,General Table,Governor Recommended,,105621934.0,21
General Fund / Statewide,General Table,General Table,General Table,60 million in,,107541620.0,21
General Fund / Statewide,General Table,General Table,General Table,Legislative,,110458421.0,21
General Fund / Statewide,General Table,General Table,General Table,FY,,117684529.0,21
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2023,2023,0.0,22
General Fund / Statewide,General Table,General Table,General Table,Actual FY 2024,2024,0.0,22
General Fund / Statewide,General Table,General Table,General Table,Appropriation FY 2025,2025,0.0,22
General Fund / Statewide,General Table,General Table,General Table,Governor Recommended,,26.0,22
General Fund / Statewide,General Table,General Table,General Table,ditional $1,,27.0,22
General Fund / Statewide,General Table,General Table,General Table,Legislative,,26.0,22
General Fund / Statewide,General Table,General Table,General Table,60 million in,,27.0,22
General Fund / Statewide,General Table,General Table,Personal Services,Actual FY 2023,2023,49325777.0,22
General Fund / Statewide,General Table,General Table,Personal Services,Actual FY 2024,2024,50658859.0,22
General Fund / Statewide,General Table,General Table,Personal Services,Appropriation FY 2025,2025,61511563.0,22
General Fund / Statewide,General Table,General Table,Personal Services,Governor Recommended,,58925053.0,22
General Fund / Statewide,General Table,General Table,Personal Services,ditional $1,,60328458.0,22
General Fund / Statewide,General Table,General Table,Personal Services,Legislative,,60694802.0,22
General Fund / Statewide,General Table,General Table,Personal Services,60 million in,,64296079.0,22
General Fund / Statewide,General Table,General Table,Other Expenses,Actual FY 2023,2023,17187223.0,22
General Fund / Statewide,General Table,General Table,Other Expenses,Actual FY 2024,2024,19140708.0,22
General Fund / Statewide,General Table,General Table,Other Expenses,Appropriation FY 2025,2025,21149147.0,22
General Fund / Statewide,General Table,General Table,Other Expenses,Governor Recommended,,20141147.0,22
General Fund / Statewide,General Table,General Table,Other Expenses,ditional $1,,20611147.0,22
General Fund / Statewide,General Table,General Table,Other Expenses,Legislative,,22660836.0,22
General Fund / Statewide,General Table,General Table,Other Expenses,60 million in,,24954131.0,22
General Fund / Statewide,General Table,General Table,Equipment,Actual FY 2023,2023,596735.0,22
General Fund / Statewide,General Table,General Table,Equipment,Actual FY 2024,2024,1606304.0,22
General Fund / Statewide,General Table,General Table,Equipment,Appropriation FY 2025,2025,3295000.0,22
General Fund / Statewide,General Table,General Table,Equipment,Governor Recommended,,3295000.0,22
General Fund / Statewide,General Table,General Table,Equipment,ditional $1,,3295000.0,22
General Fund / Statewide,General Table,General Table,Equipment,Legislative,,3295000.0,22
General Fund / Statewide,General Table,General Table,Equipment,60 million in,,3295000.0,22
General Fund / Statewide,General Table,General Table,Other Current Expenses,Actual FY 2023,2023,0.0,22
General Fund / Statewide,General Table,General Table,Other Current Expenses,Actual FY 2024,2024,0.0,22
General Fund / Statewide,General Table,General Table,Other Current Expenses,Appropriation FY 2025,2025,0.0,22
General Fund / Statewide,General Table,General Table,Other Current Expenses,Governor Recommended,,0.0,22
General Fund / Statewide,General Table,General Table,Other Current Expenses,ditional $1,,0.0,22
General Fund / Statewide,General Table,General Table,Other Current Expenses,Legislative,,0.0,22
General Fund / Statewide,General Table,General Table,Other Current Expenses,60 million in,,0.0,22
General Fund / Statewide,General Table,General Table,Flag Restoration,Actual FY 2023,2023,227.0,22
General Fund / Statewide,General Table,General Table,Flag Restoration,Actual FY 2024,2024,1159.0,22
General Fund / Statewide,General Table,General Table,Flag Restoration,Appropriation FY 2025,2025,65000.0,22
General Fund / Statewide,General Table,General Table,Flag Restoration,Governor Recommended,,65000.0,22
General Fund / Statewide,General Table,General Table,Flag Restoration,ditional $1,,65000.0,22
General Fund / Statewide,General Table,General Table,Flag Restoration,Legislative,,65000.0,22
General Fund / Statewide,General Table,General Table,Flag Restoration,60 million in,,65000.0,22
General Fund / Statewide,General Table,General Table,Minor Capital Improvements,Actual FY 2023,2023,1039875.0,22
